Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
HusKerrs,True,False,English,26th Apr 2012,378394,9328287,8761,7.9,Call of Duty: Modern Warfare,PLAYERUNKNOWN,Fall Guys
imls,True,False,English,2nd Dec 2011,408136,20736697,11963,5.1,League of Legends,,
ludwig,True,False,English,3rd Mar 2013,566798,9836728,11941,5.1,Among Us,Just Chatting,Fall Guys
LVPes,True,False,Spanish,11th May 2011,597726,163754573,11276,5.9,League of Legends,Teamfight Tactics,
SilverName,True,False,Russian,28th Aug 2014,617950,106646470,11702,5.1,Hearthstone,Grand Theft Auto V,Call of Duty: Modern Warfare
서새봄냥 (saddummy),True,False,Korean,29th May 2012,583609,81966447,6338,11.5,Just Chatting,MapleStory,Lost Ark Online
Myth,True,False,English,27th Dec 2015,6741303,120164416,9064,7.3,VALORANT,Fall Guys,Call of Duty: Modern Warfare
elded,True,False,Spanish,1st Dec 2014,2659730,38328023,10906,6.1,Just Chatting,Call of Duty: Modern Warfare,Fall Guys
Evelone192,True,False,Russian,18th Jan 2013,1081508,60243242,24113,3.4,Just Chatting,,
NickEh30,True,False,English,6th Jun 2013,1729610,40818530,11605,5.5,Fortnite,Fall Guys,Apex Legends
FolagorLives,True,False,Spanish,27th May 2012,803328,13427911,9495,7.0,Grand Theft Auto V,Minecraft,Just Chatting
TeePee,True,True,English,3rd Aug 2011,533716,25951492,6758,7.4,Call of Duty: Modern Warfare,Unlisted on Twitch,
dasMEHDI,True,True,English,22nd Jun 2012,301292,17819486,4684,12.4,Grand Theft Auto V,Horizon Zero Dawn,Mortal Shell
Trymacs,True,False,German,14th Jun 2014,1632033,58558944,11295,6.6,Minecraft,Special Events,Fall Guys
Cellbit,True,False,Portuguese,27th Feb 2012,1319613,38959237,12377,5.8,Just Chatting,Scrutinized,Tabletop Simulator
Perxitaa,True,False,Spanish,5th Sep 2012,739347,8402832,17339,4.0,Grand Theft Auto V,Fall Guys,Fortnite
Sykkuno,True,False,English,14th Nov 2011,358410,6327335,7869,8.3,Among Us,VALORANT,Minecraft
침착맨 (zilioner),True,False,Korean,14th Jul 2014,471271,40006102,11251,5.9,Pokémon Sword/Shield,League of Legends,Talk Shows & Podcasts
aceu,True,True,English,18th Apr 2015,884850,18920676,10513,6.0,VALORANT,Call of Duty: Modern Warfare,Among Us
Smurfdomuca,True,False,Portuguese,5th Jan 2017,286769,7278771,8143,8.0,League of Legends,Minecraft,Just Chatting
NoWay4u_Sir,True,False,German,15th Mar 2015,386085,57506401,8746,3.2,League of Legends,Path of Exile,Teamfight Tactics
얍얍 (yapyap30),True,False,Korean,7th Oct 2015,303756,62598621,10166,8.6,Lost Ark Online,League of Legends,Just Chatting
DreamHackCS,True,False,English,9th Jun 2011,1801697,193672774,17159,8.8,Counter-Strike: Global Offensive,,
bratishkinoff,True,False,Russian,20th Aug 2015,1143180,63942429,17533,3.3,Just Chatting,Fall Guys,Mafia: Definitive Edition
AdmiralBulldog,True,True,English,26th May 2012,696928,101013877,6028,8.0,Dota 2,Fall Guys,Just Chatting
따효니 (ddahyoni),True,False,Korean,17th Sep 2015,324638,45108217,6818,6.0,Hearthstone,Epic Seven,Dead by Daylight
SNEUX,True,False,Spanish,14th Oct 2016,203386,5699781,10181,5.3,Fortnite,Just Chatting,Fall Guys
Elraenn,True,False,Turkish,16th Jul 2017,1265471,29395122,20088,5.5,Just Chatting,Grand Theft Auto V,Streamer Life Simulator
Trainwreckstv,True,True,English,14th Sep 2014,750076,26461111,7480,9.0,Just Chatting,Among Us,Fall Guys
tommyinnit,True,False,English,18th Feb 2016,480911,3143378,20284,2.4,Minecraft,Among Us,Just Chatting
stylishnoob4,True,False,Japanese,2nd Nov 2013,358978,52206037,9333,5.4,Apex Legends,Hyper Scape,Fall Guys
jukes,True,False,Portuguese,14th Dec 2014,1345444,81424326,11143,8.9,League of Legends,Just Chatting,New World
Papaplatte,True,False,German,2nd Nov 2013,919026,44722335,11568,7.4,Just Chatting,Poker,Fall Guys
Vader,True,True,English,23rd Aug 2014,425514,27057800,4694,10.3,Grand Theft Auto V,Rust,Fall Guys
TFBlade,True,False,English,20th Mar 2014,1013208,65880234,8288,5.6,League of Legends,Chess,Just Chatting
JLTomy,True,False,French,3rd May 2017,432353,17036231,11533,5.0,Just Chatting,Grand Theft Auto V,Fall Guys
Rakin,True,False,Portuguese,29th May 2013,1269596,67025445,4967,9.5,Minecraft,New World,World of Warcraft
bytarifaaa,True,False,Spanish,5th Apr 2020,651637,3821251,24080,3.2,Minecraft,Fall Guys,Just Chatting
Stray228,True,False,Russian,19th Feb 2013,782450,79841405,8722,6.2,Dota 2,,
buster,True,False,Russian,25th Mar 2015,1124506,39349549,20880,2.5,Just Chatting,Fall Guys,Counter-Strike: Global Offensive
forsen,True,True,English,18th May 2011,1310546,134083970,8980,5.8,Just Chatting,Fall Guys,Games + Demos
Elajjaz,True,False,English,20th Dec 2011,347178,48615160,6169,8.8,Gothic 3,Scrutinized,Hellpoint
울프 (lol_woolf),True,False,Korean,31st Jan 2017,312394,11885738,13864,5.8,League of Legends,Just Chatting,
cloakzy,True,False,English,3rd Feb 2015,2163277,37846752,8960,7.3,Call of Duty: Modern Warfare,Fall Guys,Rogue Company
TSM_ImperialHal,True,False,English,4th Feb 2017,320537,9887305,6495,5.4,Apex Legends,Fortnite,
Agraelus,True,True,Czech,3rd Oct 2012,421182,48580808,5027,7.0,Just Chatting,Fall Guys,Call of Duty: Modern Warfare
blxckoutz,True,False,Portuguese,15th May 2017,517512,9668109,1826,17.7,Fortnite,VALORANT,Just Chatting
ESAMarathon,True,False,English,10th Jan 2014,244512,77774858,1802,35.0,Games + Demos,Pokémon Sword/Shield,Pokémon Black/White
EsfandTV,True,False,English,25th Dec 2012,480548,35819699,5549,9.1,World of Warcraft,Just Chatting,Among Us
Fortnite,True,False,English,17th Jan 2014,3558217,84699409,20980,5.8,Fortnite,,
jovirone,True,False,Portuguese,14th Dec 2013,1105613,72202688,8329,8.1,League of Legends,Monopoly Plus,Sekiro: Shadows Die Twice
Cizzorz,True,False,English,3rd Jul 2016,1892028,21906769,4302,8.7,Minecraft,Fall Guys,Chess
PapoMC,True,True,Spanish,28th May 2020,697459,4418613,6841,5.5,Fall Guys,Just Chatting,Poker
