Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
aleks,True,True,English,29th Jul 2011,328722,6993887,2711,7.5,Grand Theft Auto V,Among Us,Fall Guys
itmeJP,True,False,English,28th Feb 2010,369237,79053630,2082,6.2,Fall Guys,Just Chatting,FINAL FANTASY XIV Online
VELLOSO,False,False,Portuguese,10th Jun 2015,26188,481663,705,17.4,VALORANT,Counter-Strike: Global Offensive,Fall Guys
GothamChess,True,False,English,23rd Mar 2017,79606,7183096,2164,5.0,Chess,Overwatch,Fall Guys
Xiuder_,True,False,Italian,17th Jun 2017,322930,3186295,1808,7.5,Fortnite,Fall Guys,Wreckfest
just_ns,True,False,Russian,10th Apr 2013,344119,29243953,3043,5.8,Dota 2,Don,Overwatch
Tonton,True,False,French,5th Oct 2014,155396,9067830,2191,6.0,Just Chatting,Grounded,Fall Guys
mL7support,True,False,English,21st Nov 2013,347987,10579223,2416,7.4,Overwatch,Apex Legends,Just Chatting
mang0,True,True,English,3rd Dec 2011,336736,16248059,1817,9.7,Fall Guys,Super Smash Bros. Melee,VALORANT
Sapnap,True,False,English,3rd Jun 2013,343667,695301,14799,2.3,Minecraft,Fall Guys,Counter-Strike: Global Offensive
mistermv,True,True,French,27th Feb 2012,482865,40703267,8734,4.1,Fall Guys,GeoGuessr,Risk of Rain 2
NeZaK_,True,False,Italian,25th Oct 2017,260401,3440747,1804,7.0,Fortnite,Just Chatting,Among Us
scoped,True,True,English,27th Jan 2018,742686,8473402,7631,3.3,Fortnite,Fall Guys,
paulanobre,True,True,Portuguese,26th Jan 2014,264998,6077676,2147,6.7,VALORANT,Just Chatting,Fall Guys
VALORANT,True,False,English,5th Feb 2020,155098,2455826,4018,5.4,VALORANT,,
RickyEdit,True,False,Spanish,12th Feb 2016,195754,3263390,1796,8.0,Fortnite,Just Chatting,Fall Guys
Flashynthen1ght,True,False,Russian,31st Jan 2013,79083,7819692,1772,7.2,Just Chatting,Fall Guys,Sports
A_Seagull,True,True,English,28th Dec 2010,1028815,41728437,3043,5.8,Overwatch,Horizon Zero Dawn,Apex Legends
oKINGBR,True,False,Portuguese,23rd Jun 2019,278957,3898140,3678,3.9,Fortnite,Fall Guys,Secret Neighbor
AntoineDanielLive,True,False,French,26th Sep 2016,425194,8930966,6295,4.6,Fall Guys,GeoGuessr,Golf It!
GoldGlove,True,False,English,26th Aug 2008,1433917,80419762,2715,5.1,NBA 2K20,PGA Tour 2K21,Call of Duty: Modern Warfare
momonkunn,True,True,Spanish,6th Sep 2012,282666,3805147,4225,5.8,Grand Theft Auto V,Fall Guys,Just Chatting
RaizQT,True,False,English,17th Sep 2012,168386,20985526,1543,11.5,Path of Exile,Diablo II: Lord of Destruction,
NateHill,True,False,English,10th Nov 2017,1071718,22366043,2759,5.8,Fortnite,Fall Guys,Just Chatting
OGADotaPIT,True,False,English,18th Mar 2014,157820,30440597,43997,9.0,Dota 2,,
imaqtpie,True,False,English,22nd Sep 2011,2653373,332962806,1805,8.7,Black Desert Online,For the King,FINAL FANTASY XIV Online
tioorochitwitch,True,True,Portuguese,21st Feb 2018,605549,2093181,13789,4.3,Just Chatting,Grand Theft Auto: San Andreas,Unlisted on Twitch
Carreraaa,True,False,Spanish,11th Nov 2015,275311,1744449,3672,4.7,Just Chatting,Slots,Fall Guys
RobertoCein,True,True,Spanish,14th Jul 2014,755684,6247465,2489,7.2,Just Chatting,VALORANT,Call of Duty: Modern Warfare
cellinrj,True,True,Portuguese,13th Feb 2017,250741,8747472,1672,7.2,League of Legends,Just Chatting,Dota 2
Loserfruit,True,False,English,11th Mar 2013,1903660,37034498,2791,4.5,Fortnite,Fall Guys,Hyper Scape
ipav999,True,False,English,19th Sep 2014,166675,6466603,1128,5.7,League of Legends,,
Lacari,True,True,English,31st Mar 2012,170422,7841835,1751,8.0,Among Us,Yakuza Kiwami,Dota 2
Low4n,True,True,French,30th Aug 2012,107732,3612894,1918,5.6,Call of Duty: Modern Warfare,Just Chatting,Hyper Scape
MoMaN,True,True,French,19th Dec 2010,363424,22212325,1782,8.5,Fall Guys,VALORANT,PLAYERUNKNOWN
Gosu,True,False,English,31st Mar 2013,1758351,121811189,4027,4.1,League of Legends,,
TwitchRivals,True,False,English,22nd Feb 2018,1025303,146409725,15690,5.2,Hyper Scape,Call of Duty: Modern Warfare,Fall Guys
고차비 (kumikomii),True,False,Korean,26th Mar 2015,178693,11316292,1660,6.9,Just Chatting,Buried Stars,theHunter: Call of the Wild
Masayoshi,True,False,English,26th Jul 2013,113988,2295855,2278,8.7,VALORANT,Among Us,Fall Guys
SoyPan,True,False,Spanish,1st Mar 2014,352898,4382994,1653,7.3,Fortnite,Just Chatting,Minecraft
恭一郎 (dmf_kyouchan),True,False,Japanese,19th Jul 2017,56128,2402956,986,11.1,Escape From Tarkov,Ghost of Tsushima,Apex Legends
momoladinastia,True,True,Spanish,24th Jan 2017,411244,3794003,5453,8.6,Just Chatting,Call of Duty: Modern Warfare,Fall Guys
watchVENN,True,False,English,30th Aug 2019,32545,3273691,584,63.4,Just Chatting,Fall Guys,Fortnite
ScreaM,True,True,English,16th Jan 2013,1011205,22213548,8551,2.8,VALORANT,Counter-Strike: Global Offensive,Fall Guys
IlloJuan,True,False,Spanish,2nd May 2015,279678,7927289,5332,3.9,Bloodborne,Fall Guys,Tom Clancy
Xop0,False,False,Russian,24th Mar 2013,101354,24843192,1132,13.1,Just Chatting,Fall Guys,Microsoft Flight Simulator
gamersclubcs,True,False,Portuguese,13th Feb 2017,277212,14967542,3679,4.6,Counter-Strike: Global Offensive,Talk Shows & Podcasts,
sisinono,False,False,Spanish,17th Jul 2019,135383,1502311,2774,4.9,Grand Theft Auto V,Just Chatting,Fall Guys
1DrakoNz,True,True,Portuguese,15th Mar 2016,380796,8941227,2360,4.5,Fortnite,VALORANT,New World
YOLOAVENTURAS,True,False,Spanish,13th Dec 2018,697079,3845489,6194,3.1,Just Chatting,Garena Free Fire,Fall Guys
ixxYjYxxi,True,False,Arabic,10th Sep 2015,864114,4965159,4269,6.0,Fortnite,Fall Guys,PUBG MOBILE
koil,True,True,English,29th Nov 2011,299336,18786254,1945,6.5,Grand Theft Auto V,New World,Among Us
NeVeR_LosEs,True,False,Chinese,12th Apr 2012,201743,32858822,3661,4.5,League of Legends,Fall Guys,Just Chatting
guit88man,True,True,Russian,21st Oct 2011,151985,28883374,1759,6.7,Games + Demos,S.T.A.L.K.E.R.: Call of Pripyat,Conan Exiles
Jankos,True,False,English,6th May 2009,579975,26412109,6315,4.0,League of Legends,,
Altair,True,True,French,14th Jan 2018,43088,4806239,1716,7.6,Horizon Zero Dawn,EA Sports UFC 4,Just Chatting
EvilGeniuses,True,True,English,28th Aug 2013,17736,10122516,30950,3.3,Mortal Kombat 11,Just Chatting,
calango,True,False,Portuguese,7th Mar 2014,774270,8091822,2746,7.7,Hollow Knight,Just Chatting,Dead by Daylight
Anton,True,True,English,7th Jun 2014,208459,9615788,2428,5.9,Escape From Tarkov,Just Chatting,Dirt Rally 2.0
QuattroAce,True,False,Russian,13th Sep 2016,164815,8387657,1399,8.6,Escape From Tarkov,,
ArQuel,True,False,Polish,18th Aug 2015,287408,29731204,1591,7.3,League of Legends,Among Us,Fall Guys
dota2mc_ru,True,False,Russian,12th Apr 2018,430875,78630699,2435,5.4,Dota 2,,
SkyshockTV,True,False,Spanish,24th Mar 2012,115237,5804004,2436,5.5,Just Chatting,Fall Guys,Grounded
yourragegaming,False,True,English,14th Oct 2012,219485,957613,6081,3.5,Just Chatting,Fall Guys,Among Us
MinosTV_,True,True,French,9th Jun 2014,206386,5935951,1903,6.9,Just Chatting,League of Legends,Grand Theft Auto V
PUBG,True,False,English,23rd Jun 2016,747090,35582532,4271,4.0,PLAYERUNKNOWN,,
Gabi,True,False,Portuguese,4th Aug 2013,278825,7422819,2988,5.7,Unlisted on Twitch,Just Chatting,A Hat in Time
Crowder,True,False,English,26th Jul 2013,176381,2470518,2708,5.3,Call of Duty: Modern Warfare,Fall Guys,
bmkibler,True,False,English,1st Nov 2011,475903,37724101,1942,5.0,Hearthstone,Fitness & Health,League of Legends
FarfadoxVEVO,True,False,Spanish,20th May 2018,388166,2399069,6240,3.3,Minecraft,Counter-Strike: Global Offensive,Among Us
EASPORTSFIFA,True,False,English,6th Feb 2012,1305714,47670995,6859,5.0,FIFA 20,,
P4wnyhof,True,False,English,21st Sep 2014,490773,55216349,1358,8.6,Call of Duty: Modern Warfare,Fall Guys,Ghost of Tsushima
itsRaikz,False,True,Spanish,7th Jul 2019,69564,1108322,2206,6.5,Grand Theft Auto V,Just Chatting,VALORANT
Paramaxil,True,False,Polish,14th Jan 2014,86538,3268969,2927,4.6,Travel & Outdoors,Just Chatting,Raid: Shadow Legends
Goes_x,False,True,Spanish,4th Jun 2018,75705,2090029,1819,6.5,Grand Theft Auto V,Just Chatting,Fall Guys
소우릎 (so_urf),True,False,Korean,11th Apr 2017,96993,12130235,1441,9.3,League of Legends,Lost Ark Online,Hearthstone
gamescom,True,True,English,17th Aug 2017,79009,2452856,5593,2.2,Special Events,,
AlphaCast,True,True,French,25th Jun 2015,412922,21492509,3171,7.1,A Total War Saga: Troy,Grounded,Just Chatting
BoarControlHS,True,False,English,14th Jun 2015,80218,4914079,1553,7.0,Hearthstone,Fall Guys,
양띵 (yd0821),True,False,Korean,1st Oct 2015,281814,9960011,7320,4.2,Minecraft,Lost Ark Online,Just Chatting
SmallAnt,True,False,English,29th Feb 2016,263943,3246922,3433,4.8,Super Mario Odyssey,Pokémon HeartGold/SoulSilver,The Legend of Zelda: The Wind Waker
NHL,True,False,English,25th Jan 2018,26086,11411002,25871,4.7,NHL 20,,
iamSometimes,True,False,Thai,5th Aug 2016,180862,8956696,2873,5.1,Dead by Daylight,VALORANT,Fall Guys
Silithur,True,False,Spanish,10th Jun 2012,184431,4253115,2435,4.6,Fall Guys,Minecraft,Rogue Legacy 2
JokerdTV,True,True,English,24th Aug 2013,159484,9179776,2185,8.4,World of Warcraft,,
jbzzed,True,False,French,31st Jan 2016,238712,3431263,1601,5.5,VALORANT,,
AlliedEsports,False,False,English,26th Feb 2019,36752,1487662,2854,5.1,VALORANT,Mario Kart 8,Fortnite
나나양 (nanayango3o),True,False,Korean,22nd Oct 2016,149901,7888591,1827,5.5,Just Chatting,Fall Guys,League of Legends
Raptorlv,False,False,Spanish,9th Dec 2017,124589,1483068,4144,3.7,Grand Theft Auto V,Fall Guys,Resident Evil 7 biohazard
JERICHO,True,False,English,5th Feb 2010,1192867,36893106,2111,5.7,Just Chatting,VALORANT,Poly Bridge 2
murilo_RT,True,True,Portuguese,4th Aug 2017,71325,3508423,513,100.0,Counter-Strike: Global Offensive,Grand Theft Auto: San Andreas,Grand Theft Auto IV
연두는말안드뤄 (rudbeckia7),True,False,Korean,30th Jul 2013,211927,28685434,2178,7.2,Just Chatting,Games + Demos,White Day: A Labyrinth Named School
Moondye7,True,False,German,3rd Sep 2012,307216,26116942,2376,6.4,Just Chatting,Escape From Tarkov,DayZ
Calebhart42,True,False,English,16th Feb 2011,177917,18714623,1855,6.9,Final Fantasy VII,Dark Souls,Mortal Shell
Domingo,True,False,French,5th Feb 2013,833425,75835072,7656,3.3,Just Chatting,Fall Guys,Special Events
世界の屁こき隊 (hekokitaiworld),True,False,Japanese,13th Jun 2020,6298,752332,1280,10.2,eBaseball Powerful Pro Yakyū 2020,Winning Post 9 2020,The Legend of Zelda: Breath of the Wild
runitup247,True,False,English,24th May 2018,92531,6009532,497,65.3,Poker,,
Shadoune666,True,False,Spanish,29th Sep 2012,255581,3015684,1833,6.9,Minecraft,Fall Guys,Just Chatting
Arteezy,True,True,English,9th Jul 2011,634982,53164533,21274,8.0,Dota 2,,
Sweatcicle,True,True,English,20th Jul 2015,163491,3110018,1578,7.9,Destiny 2,Fall Guys,Special Events
피닉스박1 (xkwhd),True,False,Korean,23rd Sep 2017,143405,10065214,1455,9.3,League of Legends,MapleStory,Just Chatting
ekipa,True,True,Polish,25th Jun 2020,316708,1713944,7063,3.5,Just Chatting,Fall Guys,Unlisted on Twitch
Tiagovski555YT,True,False,Portuguese,8th Aug 2018,226270,6441247,3734,4.3,Grand Theft Auto V,Fall Guys,Just Chatting
ESL_SC2,True,False,English,2nd May 2012,307235,87380807,997,34.9,StarCraft II,,
꽃핀 (cherrypach),True,False,Korean,20th Feb 2015,243112,13015344,1836,8.8,League of Legends,Just Chatting,Until Dawn
GernaderJake,True,False,English,18th Aug 2008,298066,16773836,1780,8.6,Destiny 2,Fall Guys,Marbles On Stream
XANTAREScN,True,True,Turkish,11th Feb 2015,342852,8955992,4994,2.4,Counter-Strike: Global Offensive,Unlisted on Twitch,Just Chatting
olyashaa,True,False,Russian,19th Oct 2015,566681,27756854,2181,5.5,Just Chatting,Portal 2,Call of Duty: Modern Warfare
itsHafu,True,False,English,24th May 2012,788974,84106475,2041,8.2,Chess,Among Us,Just Chatting
Yogscast,True,False,English,27th Feb 2011,960711,133591319,661,8.7,Garry,Twitch Plays,Minecraft
SovietWomble,True,True,English,31st Jul 2014,1372333,27830862,3960,2.3,Space Engineers,Halo: The Master Chief Collection,DayZ
LLStylish,True,False,English,6th Jul 2016,583157,14504490,3832,4.3,League of Legends,Call of Duty: Modern Warfare,Just Chatting
MamuteHS,True,True,Portuguese,26th Dec 2018,82304,976861,2067,6.0,Grand Theft Auto V,Virtual Casino,Overwatch
Werlyb,True,False,Spanish,7th May 2012,210469,7439805,3448,3.2,League of Legends,Fall Guys,Just Chatting
Patriota,True,False,Portuguese,4th Mar 2012,666470,6862909,2713,5.9,Fortnite,Fall Guys,Rogue Company
Heelmike,True,True,English,17th Jul 2015,313606,4296285,2603,5.6,Fall Guys,Just Chatting,Fortnite
masondota2,True,False,English,25th Feb 2013,105655,6253672,3117,5.5,Dota 2,Among Us,
KarasMai,True,False,English,8th Mar 2016,287047,7820063,1959,6.1,League of Legends,Among Us,
SaltyBet,True,False,English,4th May 2013,225166,33956845,478,143.8,M.U.G.E.N,,
금사향 (sah_yang),True,False,Korean,8th Nov 2016,208940,10668407,1874,8.3,Just Chatting,Lost Ark Online,Minecraft
Rubini,True,True,Portuguese,18th Jan 2016,103390,14934612,2136,6.6,Tibia,Call of Duty: Modern Warfare,Fall Guys
BeyondTheSummit_PT,True,False,Portuguese,11th May 2016,203670,56554612,484,70.7,Dota 2,,
swimstrim,True,False,English,30th Dec 2016,142382,8684282,2533,4.7,Legends of Runeterra,League of Legends,Among Us
Mayichi,True,False,Spanish,20th Jun 2015,202801,5211875,2373,6.4,Minecraft,Just Chatting,Fall Guys
Killars,True,False,English,9th Mar 2011,46979,10774764,485,50.2,Just Chatting,,
Milan926_,True,False,Spanish,31st Dec 2018,223319,2651887,2843,3.0,Fortnite,Just Chatting,
Limmy,True,True,English,5th Feb 2010,216635,4653808,2194,4.5,Just Chatting,SnowRunner,Microsoft Flight Simulator
ONSCREEN,True,False,English,30th Dec 2011,918005,39413103,2723,5.5,VALORANT,Hyper Scape,Poker
Anthony_Kongphan,True,False,English,7th Apr 2011,462756,28799537,1450,9.5,Escape From Tarkov,Horizon Zero Dawn,New World
HAchubby,True,False,English,6th Feb 2018,224903,6060023,2608,3.9,Just Chatting,Grand Theft Auto V,Little Nightmares
DuelLinksMeta,True,False,English,7th Mar 2017,89614,8541933,2957,7.9,Yu-Gi-Oh! Duel Links,Shadowverse,
Arab,True,True,English,30th Apr 2016,188251,3338485,1112,7.3,Fortnite,Just Chatting,Fall Guys
소니쇼 (sonycast_),True,False,Korean,19th Oct 2016,256324,30678765,2486,6.4,Buried Stars,StarCraft II,Just Chatting
GingiTV,True,False,English,15th Feb 2012,157974,15158270,2227,7.0,World of Warcraft,Raid: Shadow Legends,
DatModz,True,False,English,16th Aug 2011,270797,38118139,1056,9.0,Path of Exile,Diablo II: Lord of Destruction,New World
melina,True,True,English,15th Jan 2019,201458,5204414,3209,2.9,Just Chatting,,
Drjayfisto,True,True,English,10th May 2013,131374,18179330,1069,7.9,World of Warcraft,League of Legends,
Tomato,True,True,English,20th May 2013,93577,3234084,3397,4.7,Outward,Tom Clancy,Dread X Collection 2
Philza,True,False,English,11th Jan 2009,548201,7015573,3745,5.9,Minecraft,Fall Guys,Among Us
Smoke,True,False,English,9th Sep 2014,167277,9233859,1873,10.4,DayZ,,
Manyrin,True,False,Russian,28th Dec 2013,456144,36281490,2511,3.5,Just Chatting,World of Warcraft,Grand Theft Auto V
Zenon_GP,False,False,Portuguese,7th Jul 2019,342986,3464473,1717,3.6,Fortnite,Fall Guys,PLAYERUNKNOWN
erobb221,True,False,English,22nd Jul 2015,245770,5659471,2040,7.2,Sekiro: Shadows Die Twice,Just Chatting,Tekken 7
배돈 (baedony),True,False,Korean,4th Sep 2017,43064,4399734,1485,7.3,Kingdom of the Wind,Just Chatting,Games + Demos
실프_ (silphtv),True,False,Korean,26th Oct 2016,309844,19128830,1394,13.1,League of Legends,Rust,Just Chatting
RiffTrax,True,False,English,19th Aug 2009,79432,8172687,458,47.7,Just Chatting,,
okyyy,True,False,Spanish,15th Sep 2019,328731,2508003,11490,2.8,Just Chatting,Call of Duty: Mobile,Slots
Alderiate,True,False,French,18th Dec 2014,320238,18739025,2982,5.1,Darkest Dungeon,Mordhau,"Warhammer 40,000: Space Marine"
Mushway,True,True,French,31st Jan 2015,319193,3556049,2841,5.5,Fortnite,Just Chatting,A Plague Tale: Innocence
Thebausffs,True,False,English,18th Jun 2015,131195,2477168,3247,5.8,League of Legends,,
cidcidoso,True,False,Portuguese,30th Oct 2016,154427,4165181,3625,2.9,Just Chatting,Fall Guys,Talk Shows & Podcasts
JrokezFTW,True,True,Turkish,3rd May 2017,318559,10913462,3004,4.2,Grand Theft Auto V,VALORANT,Just Chatting
skill4ltu,True,True,English,28th Dec 2015,132485,12351388,1780,6.7,World of Tanks,,
LVParg,True,False,Spanish,24th Oct 2017,98390,4460085,6083,5.6,League of Legends,,
Deadlyslob,True,False,English,22nd May 2010,316824,15324183,1997,7.7,Escape From Tarkov,Hell Let Loose,Dark Souls III
primeleague,True,False,German,19th Sep 2019,73427,6014207,6561,5.5,League of Legends,,
Everyeyeit,True,False,Italian,25th Nov 2013,87971,97190835,1413,2.3,Just Chatting,Marvel,Fall Guys
Etoiles,True,False,French,21st Mar 2015,224470,7565998,2722,5.7,Fall Guys,Just Chatting,Minecraft
Pace22,True,True,English,18th Jun 2012,173775,5752273,1537,7.1,Sea of Thieves,New World,Hunt: Showdown
brunablince,True,False,Portuguese,9th Apr 2017,100672,2026081,1198,8.4,Grand Theft Auto V,,
Alkaizerx,True,True,English,2nd Sep 2012,154456,23790300,1141,8.7,Path of Exile,Last Epoch,Just Chatting
robcdee,True,False,English,10th Aug 2017,53963,2786037,1341,8.4,Just Chatting,,
DougisRaw,True,True,English,5th Jan 2014,132025,3488397,1422,7.3,Call of Duty: Modern Warfare,Rogue Company,Fall Guys
Trick2g,True,True,English,6th Feb 2012,1478515,150415902,1748,6.6,League of Legends,Call of Duty: Modern Warfare,Fall Guys
XEWER,True,False,French,14th Apr 2015,460454,10093311,1227,6.2,Fortnite,Fall Guys,Call of Duty: Modern Warfare
TrU3Ta1ent,True,False,English,29th Aug 2013,598614,32640540,2270,5.6,Dead by Daylight,Fall Guys,For Honor
maxim,True,True,German,1st Sep 2017,316913,10396468,2375,3.9,League of Legends,Special Events,Teamfight Tactics
大丸 (wtf_winds123),True,True,Chinese,6th Apr 2012,260047,41881603,2590,6.9,Just Chatting,Fall Guys,League of Legends
WilburSoot,True,False,English,9th Dec 2017,651111,2487219,16985,2.1,Minecraft,Among Us,Just Chatting
ESL_Thailand,True,False,Thai,24th Oct 2017,20736,1861620,1173,5.4,Dota 2,,
QuickyBaby,True,False,English,18th May 2012,417499,42210697,2322,7.0,World of Tanks,League of Legends,Fall Guys
pokimane,True,False,English,7th Jun 2013,5367605,120634186,17256,2.7,VALORANT,Just Chatting,Fall Guys
Bawkbasoup,True,True,English,3rd Sep 2013,95587,6057969,1320,8.3,Fall Guys,Scrutinized,Resident Evil 4
bysTaXx,True,True,Spanish,24th Oct 2011,1099272,12086553,6539,3.1,Counter-Strike: Global Offensive,Minecraft,Call of Duty: Modern Warfare
BRNWOWZK1,True,True,Portuguese,1st Sep 2012,173549,7853223,432,79.9,VALORANT,Fortnite,Counter-Strike: Global Offensive
Solaaaa,True,False,German,17th Jun 2013,311226,12457175,2562,3.9,League of Legends,Rogue Company,Tom Clancy
BikeMan,True,True,English,25th Jul 2012,264322,20008968,1381,6.8,Microsoft Flight Simulator,Hellpoint,WolfPack
Mithrain,True,False,Turkish,10th Jan 2015,1264975,72140653,2919,5.3,Just Chatting,PLAYERUNKNOWN,Hyper Scape
Mandzio,True,False,Polish,3rd Sep 2011,248837,8135230,2173,4.4,League of Legends,Among Us,Minecraft
duckmanzch,True,False,Thai,4th Jun 2017,124516,11677841,1914,4.3,PLAYERUNKNOWN,Grand Theft Auto V,Grand Theft Auto
スタンミ (sutanmi),True,False,Japanese,31st Oct 2012,53678,8750476,2665,5.8,League of Legends,7 Days to Die,Fall Guys
c9judite,True,False,Portuguese,12th Oct 2014,108308,10467149,444,31.3,Grand Theft Auto V,Just Chatting,New World
boyMinORu,True,True,Thai,10th Mar 2016,368445,42691313,1612,5.6,VALORANT,PLAYERUNKNOWN,Just Chatting
KayzahR,True,True,German,16th Dec 2015,67477,1101920,2329,3.3,Call of Duty: Modern Warfare,,
PG_Esports,True,False,Italian,4th Dec 2013,114250,34240330,2028,5.8,League of Legends,Teamfight Tactics,
Pun1shers_TV,True,False,Greek,2nd Aug 2014,84029,5714402,2393,6.4,League of Legends,Fall Guys,Rocket League
MarkiLokurasY,True,False,Spanish,23rd Nov 2014,942480,17394120,3208,4.3,Fortnite,Fall Guys,Just Chatting
iLame,True,True,Russian,7th Apr 2015,237606,22745722,1147,8.6,Call of Duty: Modern Warfare,The Cycle,Path of Exile
러너교 (runner0608),False,False,Korean,4th Mar 2017,167198,6499465,1947,6.2,Lost Ark Online,Just Chatting,Overwatch
OgamingSC2,True,False,French,24th Sep 2014,105708,65320037,433,31.0,StarCraft II,Warcraft III,Unlisted on Twitch
StolenBR,True,False,Portuguese,26th Jan 2013,134366,2784204,1839,5.2,Call of Duty: Modern Warfare,Grand Theft Auto V,Project Winter
CapcomFighters,True,False,English,3rd Oct 2012,349472,95861251,4788,2.7,Street Fighter V,Special Events,
Lessloko,True,True,Portuguese,7th Jan 2016,128189,1632070,1357,7.0,Fortnite,Fall Guys,Just Chatting
richwcampbell,True,False,English,22nd Jun 2016,112554,5500140,2895,6.0,World of Warcraft,New World,Just Chatting
HealthyGamer_GG,True,False,English,10th Jul 2019,369128,2918364,11130,2.4,Just Chatting,,
Heitir,True,False,Portuguese,22nd Nov 2017,104572,1416097,3440,5.4,Just Chatting,Fall Guys,Tricky Towers
Wardiii,True,False,English,22nd Dec 2011,77284,10157153,2043,6.5,StarCraft II,Fall Guys,Poker
Lasqa,True,True,Russian,13th Apr 2014,136821,20398513,3177,9.5,Just Chatting,My Summer Car,EA Sports UFC 4
KriszhAdvice,True,False,Hungarian,13th Feb 2017,287948,19595925,1639,6.6,Fortnite,Project Zomboid,Fall Guys
쫀득이_ (pjs9073),True,False,Korean,12th Sep 2016,195994,9751680,2730,4.5,Just Chatting,Minecraft,Fall Guys
maitoz,True,True,English,7th Apr 2015,39183,2638274,1732,11.3,World of Warcraft,,
견자희 (wkgml),True,False,Korean,2nd Nov 2016,420264,15592178,2031,6.9,Just Chatting,Planet Zoo,House Flipper
Replays,True,False,English,3rd Feb 2017,885019,9977543,1504,5.1,Fortnite,Fall Guys,
매직박 (yagubu),True,False,Korean,17th Nov 2016,62360,3801883,1745,2.7,Euro Truck Simulator 2,Korean Baseball League,Just Chatting
RedBull,True,False,English,6th Jun 2013,243614,43206777,2579,6.6,Age of Empires II: Definitive Edition,Tekken 7,Magic: The Gathering
Karchezz,True,True,Spanish,15th May 2015,106220,922598,3671,4.6,Grand Theft Auto V,Fall Guys,Just Chatting
casimito,True,True,Portuguese,2nd Sep 2018,55298,563622,1631,6.0,Just Chatting,Fall Guys,Bully: Scholarship Edition
ChicaLive,True,False,English,5th Sep 2014,1081664,7002374,3571,3.6,Fortnite,Rogue Company,Fall Guys
Peereira7,True,True,Spanish,21st Nov 2017,393026,6661505,2188,4.6,Fortnite,Just Chatting,Fall Guys
RazaH,True,False,Portuguese,11th Aug 2014,55731,1187419,1222,7.1,Tom Clancy,Fall Guys,Just Chatting
HandIOfIBlood,True,False,German,17th Sep 2013,687190,20989802,4778,4.9,Special Events,Just Chatting,Carrion
머독 (ajehr),True,False,Korean,29th Oct 2016,367025,24129276,3345,4.5,Talk Shows & Podcasts,Games + Demos,Fall Guys
Strippin,True,False,English,28th Jun 2011,294120,21132551,1556,6.9,FINAL FANTASY XIV Online,Fall Guys,For Honor
Broeki1,True,True,German,15th Mar 2013,151445,19542840,1347,3.7,League of Legends,Hollow Knight,Fall Guys
LaChilenaBelu,True,True,Spanish,16th Aug 2017,934122,10825398,2707,5.0,Just Chatting,Counter-Strike: Global Offensive,Dead by Daylight
DownToQuest,True,True,English,20th Mar 2017,82597,4535952,412,143.8,Crowfall,Fall Guys,Just Chatting
jcorko_,False,False,Spanish,18th Jul 2017,193995,2260845,2915,2.8,Grand Theft Auto V,Fall Guys,Rust
Popo,True,False,Polish,16th May 2015,101150,1365119,3259,7.1,League of Legends,Just Chatting,South Park: The Stick of Truth
flamuu,True,True,English,7th Jun 2014,118058,9039558,2047,7.2,World of Warships,Azur Lane,Fall Guys
scump,True,False,English,17th Jun 2010,893010,27403332,6007,3.6,Call of Duty: Modern Warfare,Rogue Company,Fall Guys
uhSnow,True,True,English,27th Apr 2016,135575,6203217,3016,5.3,Grand Theft Auto V,Microsoft Flight Simulator,Star Citizen
AlGearBethunter,False,True,German,17th Nov 2019,89662,1107229,2545,3.3,Slots,Just Chatting,Fortnite
Tixinhadois,False,False,Portuguese,14th Jul 2012,246201,8612256,1886,5.0,VALORANT,Fall Guys,New World
CarTmaNzbs,True,False,Russian,1st Nov 2013,387596,58503260,1784,7.2,Just Chatting,Fall Guys,Pummel Party
StRoGo,True,False,Russian,24th Jun 2018,282787,6588114,7828,1.8,Just Chatting,Fall Guys,Counter-Strike: Global Offensive
Odablock,True,False,English,14th Oct 2017,135786,5816363,2905,4.6,Old School RuneScape,Just Chatting,RuneScape
agurin,True,False,German,22nd Jun 2012,81516,3916332,1129,5.7,League of Legends,Just Chatting,The Stanley Parable
Khanada_,True,False,English,10th Nov 2017,435028,5887952,3427,2.9,Fortnite,Just Chatting,Fall Guys
oestagiariodoei,True,True,Portuguese,28th Aug 2018,67412,1121961,1351,7.4,Just Chatting,Fall Guys,Call of Duty: Modern Warfare
Ezekiel_III,True,True,English,6th Aug 2010,190798,18164438,1848,6.7,Fall Guys,Leisure Suit Larry: Love for Sail!,Games + Demos
LCK_Japan,True,False,Japanese,26th Feb 2020,21659,3149614,3028,5.7,League of Legends,,
ritOgaming,True,False,French,15th Jan 2016,85061,7425554,479,25.1,League of Legends,Teamfight Tactics,
unicornio,True,True,Spanish,24th Apr 2014,350087,3604482,4123,3.2,Just Chatting,Fall Guys,Counter-Strike: Global Offensive
OficialBarcelloS,True,False,Portuguese,4th Jan 2016,354305,1811142,2184,5.1,Garena Free Fire,Just Chatting,Special Events
MrSoki,True,False,Spanish,1st Sep 2013,230051,1796326,2876,5.0,Call of Duty: Modern Warfare,Just Chatting,Pinturillo 2
DanucD,True,False,English,9th Jan 2018,551706,21585152,1697,6.1,PLAYERUNKNOWN,Call of Duty: Modern Warfare,Just Chatting
